charter,legacy,loadout,policy,runs,complete,partial,pyrrhic,failure,extinction,mean_score,mean_objective,min_credits,min_food,min_fuel,min_parts,min_hull,min_life,min_morale,min_unity,mean_population_loss,total_faction_losses,crisis_decisions,generational_decisions,milestone_decisions,legacy_decisions,delegated,dilemmas,forced_returns,repairs,training,trades,emergency_purchases,mean_net_credits,mean_renown,mean_simulated_years,departure_subsystems,homecoming_subsystems
coronal_tap,adaptors,cargo,conservative,50,49,1,0,0,0,0.9660,1.0000,3518,10605,0.0000,0,0.6926,0.6990,0.2771,0.5256,280.30,0,3234,2399,1868,0,2759,388,0,2101,1114,0,0,12507.88,96.60,320.08,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.74/0.58;education_culture:1.00/0.95;engineering_bay:0.73/0.55;life_support_habitat:1.00/0.65;medical_bay:1.00/0.63;security:0.51/0.00"
coronal_tap,adaptors,cargo,first-choice,50,11,39,0,0,0,0.8494,0.9909,2379,485,0.0550,9,0.4454,0.4700,0.1839,0.3217,572.58,95,3572,2404,1371,2688,539,387,0,792,737,4,4,12408.34,85.04,320.00,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.49/0.57;education_culture:0.51/0.00;engineering_bay:0.52/0.40;life_support_habitat:1.00/0.64;medical_bay:0.35/0.00;security:0.41/0.00"
coronal_tap,adaptors,cargo,objective-first,50,27,23,0,0,0,0.8994,1.0000,3518,10637,0.0000,71,0.4453,0.4900,0.2833,0.4360,392.36,0,3544,2318,1756,2610,457,385,0,722,269,0,0,22747.28,89.92,320.10,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.31/0.30;education_culture:1.00/0.92;engineering_bay:0.53/0.64;life_support_habitat:1.00/0.43;medical_bay:1.00/0.47;security:0.20/0.00"
coronal_tap,adaptors,combat,conservative,50,50,0,0,0,0,0.9706,1.0000,2600,10366,0.2391,16,0.6955,0.6990,0.4467,0.4716,255.16,0,2504,2607,2066,0,3004,377,0,2134,1036,0,0,12611.84,97.12,320.00,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.75/0.40;education_culture:1.00/0.95;engineering_bay:0.72/0.45;life_support_habitat:1.00/0.55;medical_bay:1.00/0.47;security:0.29/0.00"
coronal_tap,adaptors,combat,first-choice,50,10,38,2,0,0,0.8422,0.9988,1998,982,0.1779,75,0.4454,0.4500,0.1333,0.4591,619.64,94,2989,2664,1609,2797,587,386,0,793,621,2,2,12529.54,84.24,320.00,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.53/0.61;education_culture:0.65/0.42;engineering_bay:0.51/0.40;life_support_habitat:1.00/0.55;medical_bay:0.35/0.00;security:0.19/0.00"
coronal_tap,adaptors,combat,objective-first,50,34,16,0,0,0,0.9152,1.0000,2600,10366,0.0601,106,0.4453,0.5200,0.5230,0.4716,336.86,0,3027,2386,1972,2799,517,395,0,673,216,0,0,22179.24,91.46,320.00,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.43/0.00;education_culture:1.00/0.92;engineering_bay:0.46/0.60;life_support_habitat:1.00/0.53;medical_bay:1.00/0.47;security:0.43/0.00"
coronal_tap,adaptors,fuel,conservative,50,48,2,0,0,0,0.9647,1.0000,6713,10260,0.8652,0,0.4886,0.6830,0.3809,0.5341,282.56,0,3148,2392,1796,0,2801,384,0,2157,1255,0,0,12600.48,96.46,320.00,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.75/0.58;education_culture:1.00/1.00;engineering_bay:0.70/0.55;life_support_habitat:1.00/0.63;medical_bay:1.00/0.60;security:0.43/0.00"
coronal_tap,adaptors,fuel,first-choice,50,9,38,3,0,0,0.8352,0.9786,2555,584,0.8500,50,0.4454,0.4900,0.2872,0.4074,614.46,96,3605,2345,1437,2661,564,408,0,755,867,8,8,11951.30,83.58,320.00,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.46/0.61;education_culture:0.50/0.00;engineering_bay:0.46/0.40;life_support_habitat:1.00/0.60;medical_bay:0.34/0.00;security:0.41/0.00"
coronal_tap,adaptors,fuel,objective-first,50,30,20,0,0,0,0.9029,0.9978,6713,7669,0.8556,44,0.4453,0.5100,0.2530,0.4632,377.28,0,3618,2257,1817,2652,480,379,0,707,393,0,0,23112.04,90.28,320.00,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.31/0.00;education_culture:1.00/0.91;engineering_bay:0.52/0.60;life_support_habitat:1.00/0.43;medical_bay:1.00/0.47;security:0.26/0.00"
coronal_tap,adaptors,speed,conservative,50,50,0,0,0,0,0.9634,1.0000,4153,9803,0.0000,0,0.6955,0.6990,0.3061,0.5341,293.02,0,3203,2395,1895,0,2764,385,0,2161,1542,0,0,12757.88,96.32,320.08,"agriculture:1.00/0.70;education_culture:1.00/0.70;engineering_bay:1.00/0.70;life_support_habitat:1.00/0.70;medical_bay:1.00/0.70;security:1.00/0.70","agriculture:0.72/0.58;education_culture:1.00/0.92;engineering_bay:0.72/0.50;life_support_habitat:1.00/0.74;medical_bay:1.00/0.57;security:0.18/0.00"
