path,category,source,creator,licence_or_permission,ai_assisted,owner_status
"assets/contracts.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/crew_archetypes.json","name_or_text_corpus","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/data/game_config.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/data/texture_manifest.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/dynasty_names.json","name_or_text_corpus","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/biology_medical.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/comedy.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/diplomacy.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/engineering.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/ethics.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/exploration_first_contact.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/legacy_drift.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/mystery.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/obligations.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/science_anomaly.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/events/survival.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/factions.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/legacies.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/packaging/stellar_legacy_icon_master.png","image","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/packaging/stellar_legacy.ico","image","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/ship_components.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/subsystems.json","game_data_or_text","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"assets/title.png","image","repository","UNKNOWN","UNKNOWN","UNKNOWN","HUMAN REVIEW REQUIRED"
"docs/release/store_media/delivery/itch_cover_630x500.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/screenshot_01_gameplay.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/screenshot_02_event.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/screenshot_03_contracts.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
"docs/release/store_media/delivery/screenshot_04_ship.png","store_media","see STORE_MEDIA_PROVENANCE.md","UNKNOWN","UNKNOWN","YES/INHERITED","HUMAN APPROVAL REQUIRED"
