policy,charter,legacy,seed,completed,terminal,food_min,parts_min,critical_months,months,occupied_slot_months,blocked_jobs,queue_transitions,recoveries,recovery_months,max_recovery_months
NoProjects,coronal_tap,adaptors,0,false,Some(HullLoss),1500,230,469,3456,0,0,0,0,0,0
NoProjects,coronal_tap,adaptors,1,false,Some(HullLoss),1500,300,889,3216,0,0,0,1,179,179
NoProjects,coronal_tap,adaptors,2,false,Some(HullLoss),1328,294,517,2880,0,0,0,0,0,0
NoProjects,coronal_tap,adaptors,3,false,Some(HullLoss),1500,234,539,3166,0,0,0,0,0,0
NoProjects,coronal_tap,adaptors,4,true,None,1500,176,457,3840,0,0,0,1,95,95
NoProjects,coronal_tap,adaptors,5,true,None,1500,196,0,3840,0,0,0,0,0,0
NoProjects,coronal_tap,adaptors,6,true,None,1500,143,113,3840,0,0,0,1,112,112
NoProjects,coronal_tap,adaptors,7,false,Some(HullLoss),1221,235,649,2976,0,0,0,0,0,0
NoProjects,coronal_tap,adaptors,8,true,None,1500,215,454,3840,0,0,0,1,453,453
NoProjects,coronal_tap,adaptors,9,false,Some(HullLoss),1500,245,505,2748,0,0,0,0,0,0
NoProjects,coronal_tap,adaptors,10,false,Some(HullLoss),1500,200,721,3636,0,0,0,0,0,0
NoProjects,coronal_tap,adaptors,11,true,None,1500,193,414,3840,0,0,0,2,412,262
NoProjects,coronal_tap,adaptors,12,false,Some(HullLoss),1500,252,505,3132,0,0,0,0,0,0
NoProjects,coronal_tap,adaptors,13,true,None,1500,133,448,3840,0,0,0,1,98,98
NoProjects,coronal_tap,adaptors,14,true,None,1500,79,80,3840,0,0,0,2,78,51
NoProjects,coronal_tap,adaptors,15,true,None,1500,131,270,3840,0,0,0,1,269,269
NoProjects,coronal_tap,preservers,0,true,None,1500,140,109,3840,0,0,0,0,0,0
NoProjects,coronal_tap,preservers,1,true,None,1500,273,210,3840,0,0,0,1,209,209
NoProjects,coronal_tap,preservers,2,true,None,1428,265,68,3840,0,0,0,2,66,36
NoProjects,coronal_tap,preservers,3,true,None,1500,300,854,3840,0,0,0,2,587,498
NoProjects,coronal_tap,preservers,4,true,None,1500,224,69,3840,0,0,0,1,68,68
NoProjects,coronal_tap,preservers,5,false,Some(HullLoss),1500,285,433,2604,0,0,0,0,0,0
NoProjects,coronal_tap,preservers,6,true,None,1500,219,0,3840,0,0,0,0,0,0
NoProjects,coronal_tap,preservers,7,true,None,1221,230,710,3840,0,0,0,2,314,288
NoProjects,coronal_tap,preservers,8,true,None,1500,207,329,3840,0,0,0,2,328,217
NoProjects,coronal_tap,preservers,9,true,None,1500,232,325,3840,0,0,0,0,0,0
NoProjects,coronal_tap,preservers,10,false,Some(HullLoss),1500,263,673,2820,0,0,0,0,0,0
NoProjects,coronal_tap,preservers,11,true,None,1500,153,0,3840,0,0,0,0,0,0
NoProjects,coronal_tap,preservers,12,true,None,0,197,574,3840,0,0,0,4,573,510
NoProjects,coronal_tap,preservers,13,false,Some(HullLoss),1500,193,397,3804,0,0,0,0,0,0
NoProjects,coronal_tap,preservers,14,false,Some(HullLoss),1500,248,517,2640,0,0,0,0,0,0
NoProjects,coronal_tap,preservers,15,true,None,1500,197,433,3840,0,0,0,0,0,0
NoProjects,coronal_tap,wanderers,0,true,None,1500,118,0,3840,0,0,0,0,0,0
NoProjects,coronal_tap,wanderers,1,true,None,1500,175,531,3840,0,0,0,1,229,229
NoProjects,coronal_tap,wanderers,2,true,None,1500,246,38,3840,0,0,0,1,37,37
NoProjects,coronal_tap,wanderers,3,true,None,1500,59,323,3840,0,0,0,2,321,256
NoProjects,coronal_tap,wanderers,4,false,Some(HullLoss),1500,247,381,2232,0,0,0,0,0,0
NoProjects,coronal_tap,wanderers,5,false,Some(HullLoss),1500,209,400,2796,0,0,0,1,3,3
NoProjects,coronal_tap,wanderers,6,false,Some(HullLoss),1500,177,517,3480,0,0,0,0,0,0
NoProjects,coronal_tap,wanderers,7,true,None,1500,222,207,3840,0,0,0,2,205,133
NoProjects,coronal_tap,wanderers,8,false,Some(HullLoss),1500,254,325,2400,0,0,0,0,0,0
NoProjects,coronal_tap,wanderers,9,true,None,1500,128,367,3840,0,0,0,1,366,366
NoProjects,coronal_tap,wanderers,10,false,Some(HullLoss),1500,137,481,3612,0,0,0,0,0,0
NoProjects,coronal_tap,wanderers,11,true,None,1500,193,40,3840,0,0,0,1,39,39
NoProjects,coronal_tap,wanderers,12,true,None,1500,300,189,3840,0,0,0,1,188,188
NoProjects,coronal_tap,wanderers,13,true,None,1500,222,829,3840,0,0,0,2,828,487
NoProjects,coronal_tap,wanderers,14,true,None,1286,168,688,3840,0,0,0,3,686,412
NoProjects,coronal_tap,wanderers,15,false,Some(HullLoss),1500,219,565,2508,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,0,true,None,1500,140,30,4080,0,0,0,1,29,29
NoProjects,deep_vein_survey,adaptors,1,true,None,1500,275,510,4080,0,0,0,1,510,510
NoProjects,deep_vein_survey,adaptors,2,true,None,1500,168,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,3,true,None,1500,127,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,4,true,None,756,177,689,4080,0,0,0,4,686,350
NoProjects,deep_vein_survey,adaptors,5,true,None,1500,129,1,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,6,true,None,1500,121,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,7,true,None,1221,186,20,4080,0,0,0,1,19,19
NoProjects,deep_vein_survey,adaptors,8,true,None,1500,300,313,4080,0,0,0,1,23,23
NoProjects,deep_vein_survey,adaptors,9,true,None,1444,237,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,10,true,None,1500,229,325,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,11,true,None,1500,176,541,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,12,true,None,1500,247,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,13,true,None,1480,300,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,14,true,None,1500,246,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,adaptors,15,true,None,1500,103,345,4080,0,0,0,1,344,344
NoProjects,deep_vein_survey,preservers,0,true,None,1500,184,85,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,1,true,None,1500,281,191,4080,0,0,0,1,190,190
NoProjects,deep_vein_survey,preservers,2,true,None,1500,248,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,3,true,None,1500,197,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,4,true,None,1500,266,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,5,true,None,1500,242,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,6,true,None,1500,240,1,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,7,true,None,1221,300,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,8,true,None,1236,191,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,9,true,None,1444,253,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,10,true,None,1500,169,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,11,true,None,1500,300,409,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,12,true,None,1500,175,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,13,true,None,1480,156,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,14,false,Some(HullLoss),1500,231,577,3708,0,0,0,0,0,0
NoProjects,deep_vein_survey,preservers,15,true,None,1500,156,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,0,true,None,1500,109,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,1,true,None,1500,222,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,2,true,None,1500,236,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,3,true,None,1500,188,105,4080,0,0,0,1,105,105
NoProjects,deep_vein_survey,wanderers,4,true,None,1500,222,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,5,true,None,1500,169,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,6,true,None,1500,134,49,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,7,true,None,1500,215,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,8,true,None,1500,200,253,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,9,true,None,1500,264,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,10,true,None,1500,124,211,4080,0,0,0,1,210,210
NoProjects,deep_vein_survey,wanderers,11,false,Some(HullLoss),1500,225,649,3996,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,12,true,None,0,300,425,4080,0,0,0,2,185,184
NoProjects,deep_vein_survey,wanderers,13,true,None,1480,209,0,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,14,true,None,1500,203,733,4080,0,0,0,0,0,0
NoProjects,deep_vein_survey,wanderers,15,true,None,1500,82,0,4080,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,0,true,None,1500,251,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,1,true,None,1500,223,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,2,true,None,0,102,0,3720,0,0,0,1,1,1
NoProjects,hollow_fleet,adaptors,3,true,None,1500,166,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,4,true,None,1500,106,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,5,true,None,1500,300,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,6,true,None,1500,198,163,3840,0,0,0,1,162,162
NoProjects,hollow_fleet,adaptors,7,true,None,1500,216,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,8,true,None,1500,102,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,9,true,None,1336,150,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,10,true,None,1500,280,721,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,11,true,None,1500,145,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,12,true,None,1500,218,34,3720,0,0,0,1,33,33
NoProjects,hollow_fleet,adaptors,13,true,None,1500,127,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,14,true,None,1500,229,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,adaptors,15,true,None,1500,222,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,0,true,None,1500,154,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,1,true,None,1500,225,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,2,true,None,1500,223,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,3,true,None,1500,300,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,4,true,None,1500,124,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,5,true,None,1500,163,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,6,true,None,1500,251,616,3720,0,0,0,1,615,615
NoProjects,hollow_fleet,preservers,7,true,None,1500,230,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,8,true,None,1500,178,214,3720,0,0,0,2,212,212
NoProjects,hollow_fleet,preservers,9,true,None,1336,160,469,3744,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,10,true,None,1500,192,6,3720,0,0,0,1,5,5
NoProjects,hollow_fleet,preservers,11,true,None,1500,179,495,3720,0,0,0,1,495,495
NoProjects,hollow_fleet,preservers,12,true,None,1500,289,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,13,true,None,1500,129,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,14,true,None,1500,195,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,preservers,15,true,None,471,183,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,0,true,None,1500,254,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,1,true,None,1500,237,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,2,true,None,1500,233,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,3,true,None,1500,201,49,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,4,true,None,1500,124,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,5,true,None,1500,234,481,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,6,true,None,1500,181,58,3746,0,0,0,2,56,32
NoProjects,hollow_fleet,wanderers,7,true,None,1500,139,5,3720,0,0,0,1,4,4
NoProjects,hollow_fleet,wanderers,8,true,None,1500,158,100,3720,0,0,0,1,99,99
NoProjects,hollow_fleet,wanderers,9,true,None,1500,221,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,10,true,None,1500,285,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,11,true,None,1500,205,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,12,true,None,1500,194,282,3720,0,0,0,2,280,196
NoProjects,hollow_fleet,wanderers,13,true,None,1500,111,379,3834,0,0,0,2,377,287
NoProjects,hollow_fleet,wanderers,14,true,None,1500,145,0,3720,0,0,0,0,0,0
NoProjects,hollow_fleet,wanderers,15,true,None,1500,223,0,3720,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,0,true,None,1500,276,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,1,true,None,1500,260,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,2,true,None,1500,274,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,3,true,None,1500,271,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,4,true,None,1500,300,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,5,true,None,1500,284,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,6,true,None,1500,277,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,7,true,None,1221,295,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,8,true,None,1500,277,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,9,true,None,1500,300,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,10,true,None,1500,276,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,11,true,None,1500,300,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,12,true,None,1500,300,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,13,true,None,1500,284,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,14,true,None,1500,274,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,adaptors,15,true,None,1500,288,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,0,true,None,1500,248,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,1,true,None,1500,275,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,2,true,None,1447,269,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,3,true,None,0,269,0,1800,0,0,0,1,1,1
NoProjects,lumen_relay_proving_run,preservers,4,true,None,1500,298,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,5,true,None,1500,298,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,6,true,None,1500,285,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,7,true,None,1221,298,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,8,true,None,1500,275,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,9,true,None,1500,282,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,10,true,None,1500,280,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,11,true,None,1500,300,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,12,true,None,1500,270,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,13,true,None,1500,263,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,14,true,None,1500,269,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,preservers,15,true,None,1500,274,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,0,true,None,1500,280,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,1,true,None,1500,300,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,2,true,None,1253,286,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,3,true,None,1500,271,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,4,true,None,1500,300,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,5,true,None,1500,300,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,6,true,None,1500,297,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,7,true,None,1500,297,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,8,true,None,1500,287,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,9,true,None,1500,287,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,10,true,None,0,271,268,1800,0,0,0,3,271,269
NoProjects,lumen_relay_proving_run,wanderers,11,true,None,1500,273,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,12,true,None,1500,255,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,13,true,None,1500,292,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,14,true,None,921,255,0,1800,0,0,0,0,0,0
NoProjects,lumen_relay_proving_run,wanderers,15,true,None,1500,283,0,1800,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,0,true,None,1500,168,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,1,true,None,1500,223,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,2,true,None,1328,187,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,3,true,None,1500,258,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,4,true,None,1500,300,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,5,true,None,1500,226,25,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,6,true,None,1500,161,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,7,true,None,1452,300,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,8,true,None,1500,237,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,9,true,None,1336,247,132,3600,0,0,0,1,131,131
NoProjects,tarssen_relief,adaptors,10,true,None,1500,191,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,11,true,None,1500,278,241,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,12,true,None,1500,147,781,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,13,true,None,1500,198,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,14,true,None,1500,181,142,3600,0,0,0,1,141,141
NoProjects,tarssen_relief,adaptors,15,true,None,1500,244,4,3600,0,0,0,1,3,3
NoProjects,tarssen_relief,preservers,0,true,None,1500,275,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,1,true,None,1500,239,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,2,true,None,1428,210,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,3,true,None,1500,245,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,4,true,None,1500,245,50,3600,0,0,0,1,50,50
NoProjects,tarssen_relief,preservers,5,true,None,1500,259,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,6,true,None,1500,300,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,7,true,None,1452,257,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,8,true,None,1500,198,0,3600,0,0,0,0,0,0
